Vardas                        Pavardė                      ND1  ND2  ND3  ND4  ND5  
Vardas1                       Pavardė1                     4    5    3    6    7    
Vardas2                       Pavardė2                     1    6    5    6    3    
Vardas3                       Pavardė3                     7    1    4    8    1    
Vardas4                       Pavardė4                     3    1    1    2    3    
Vardas5                       Pavardė5                     5    5    1    5    8    
Vardas6                       Pavardė6                     9    2    9    1    5    
Vardas7                       Pavardė7                     5    9    2    5    5    
Vardas8                       Pavardė8                     6    1    9    6    9    
Vardas9                       Pavardė9                     9    3    7    6    2    
Vardas10                      Pavardė10                    8    8    7    3    4    
Vardas11                      Pavardė11                    2    1    9    7    2    
Vardas12                      Pavardė12                    9    3    5    8    3    
Vardas13                      Pavardė13                    1    7    8    3    7    
Vardas14                      Pavardė14                    1    4    8    3    2    
Vardas15                      Pavardė15                    2    1    1    8    6    
Vardas16                      Pavardė16                    9    4    9    1    5    
Vardas17                      Pavardė17                    1    2    1    7    5    
Vardas18                      Pavardė18                    4    8    3    5    8    
Vardas19                      Pavardė19                    3    2    4    5    7    
Vardas20                      Pavardė20                    9    2    8    9    4    
Vardas21                      Pavardė21                    8    6    3    4    8    
Vardas22                      Pavardė22                    7    7    9    2    1    
Vardas23                      Pavardė23                    5    9    6    4    2    
Vardas24                      Pavardė24                    2    5    7    8    9    
Vardas25                      Pavardė25                    5    7    6    9    9    
Vardas26                      Pavardė26                    3    7    9    4    2    
Vardas27                      Pavardė27                    3    9    1    2    4    
Vardas28                      Pavardė28                    8    4    9    1    6    
Vardas29                      Pavardė29                    4    9    7    3    1    
Vardas30                      Pavardė30                    3    7    2    6    8    
Vardas31                      Pavardė31                    9    8    8    4    8    
Vardas32                      Pavardė32                    1    5    2    6    8    
Vardas33                      Pavardė33                    6    3    4    3    3    
Vardas34                      Pavardė34                    1    9    4    1    6    
Vardas35                      Pavardė35                    7    2    2    1    6    
Vardas36                      Pavardė36                    7    1    1    7    1    
Vardas37                      Pavardė37                    7    6    6    3    2    
Vardas38                      Pavardė38                    4    6    2    9    5    
Vardas39                      Pavardė39                    9    9    4    4    9    
Vardas40                      Pavardė40                    1    8    7    3    4    
Vardas41                      Pavardė41                    8    4    3    3    3    
Vardas42                      Pavardė42                    9    5    5    3    8    
Vardas43                      Pavardė43                    9    5    7    2    7    
Vardas44                      Pavardė44                    6    2    3    3    7    
Vardas45                      Pavardė45                    5    7    8    7    9    
Vardas46                      Pavardė46                    5    6    9    6    2    
Vardas47                      Pavardė47                    5    2    1    4    4    
Vardas48                      Pavardė48                    8    4    3    4    4    
Vardas49                      Pavardė49                    3    5    6    3    6    
Vardas50                      Pavardė50                    8    4    5    4    4    
Vardas51                      Pavardė51                    8    9    8    8    1    
Vardas52                      Pavardė52                    6    3    2    4    4    
Vardas53                      Pavardė53                    5    7    8    4    4    
Vardas54                      Pavardė54                    5    9    7    8    2    
Vardas55                      Pavardė55                    6    9    8    7    5    
Vardas56                      Pavardė56                    3    2    4    3    8    
Vardas57                      Pavardė57                    3    4    5    2    3    
